第n次,test_acc,True Positive,True Negative,False Positive,False Negative,Precision_1,Recall_1,Precision_0,Recall_0
"1,64",0.5,0,4,0,4,nan,0,0.5,1
,,,,,,,,,
"2,64",0.75,3,3,1,1,0.75,0.75,0.75,0.75
,,,,,,,,,
"3,64",0.5,4,0,4,0,0.5,1,nan,0
,,,,,,,,,
"4,64",0.375,3,0,4,1,0.428571429,0.75,0,0
,,,,,,,,,
"5,64",0.5,4,0,4,0,0.5,1,nan,0
,,,,,,,,,
"6,64",0.875,4,3,1,0,0.8,1,1,0.75
,,,,,,,,,
"7,64",0.375,2,1,3,2,0.4,0.5,0.333333333,0.25
,,,,,,,,,
"8,64",0.625,4,1,3,0,0.571428571,1,1,0.25
,,,,,,,,,
"9,64",0.625,1,4,0,3,1,0.25,0.571428571,1
,,,,,,,,,
"10,64",0.75,3,3,1,1,0.75,0.75,0.75,0.75
,,,,,,,,,
"1,128",0.625,3,2,2,1,0.6,0.75,0.666666667,0.5
,,,,,,,,,
"2,128",0.625,1,4,0,3,1,0.25,0.571428571,1
,,,,,,,,,
"3,128",0.875,3,4,0,1,1,0.75,0.8,1
,,,,,,,,,
"4,128",0.5,4,0,4,0,0.5,1,nan,0
,,,,,,,,,
"5,128",0.375,3,0,4,1,0.428571429,0.75,0,0
,,,,,,,,,
"6,128",0.5,3,1,3,1,0.5,0.75,0.5,0.25
,,,,,,,,,
"7,128",0.75,3,3,1,1,0.75,0.75,0.75,0.75
,,,,,,,,,
"8,128",0.625,3,2,2,1,0.6,0.75,0.666666667,0.5
,,,,,,,,,
"9,128",0.5,4,0,4,0,0.5,1,nan,0
,,,,,,,,,
"10,128",0.375,2,1,3,2,0.4,0.5,0.333333333,0.25
,,,,,,,,,
"1,256",0.5,3,1,3,1,0.5,0.75,0.5,0.25
,,,,,,,,,
"2,256",0.5,4,0,4,0,0.5,1,nan,0
,,,,,,,,,
"3,256",0.5,4,0,4,0,0.5,1,nan,0
,,,,,,,,,
"4,256",0.5,4,0,4,0,0.5,1,nan,0
第n次,test_acc,True Positive,True Negative,False Positive,False Negative,Precision_1,Recall_1,Precision_0,Recall_0
,,,,,,,,,
"1,256",0.75,3,3,1,1,0.75,0.75,0.75,0.75
,,,,,,,,,
"2,256",0.75,2,4,0,2,1,0.5,0.666666667,1
,,,,,,,,,
"3,256",0.5,4,0,4,0,0.5,1,nan,0
,,,,,,,,,
"4,256",0.625,1,4,0,3,1,0.25,0.571428571,1
,,,,,,,,,
"5,256",0.625,1,4,0,3,1,0.25,0.571428571,1
,,,,,,,,,
"6,256",0.625,1,4,0,3,1,0.25,0.571428571,1
,,,,,,,,,
"7,256",0.625,4,1,3,0,0.571428571,1,1,0.25
,,,,,,,,,
"8,256",0.75,2,4,0,2,1,0.5,0.666666667,1
,,,,,,,,,
"9,256",0.375,3,0,4,1,0.428571429,0.75,0,0
,,,,,,,,,
"10,256",0.625,3,2,2,1,0.6,0.75,0.666666667,0.5
,,,,,,,,,
"1,512",0.5,4,0,4,0,0.5,1,nan,0
,,,,,,,,,
"2,512",0.5,4,0,4,0,0.5,1,nan,0
,,,,,,,,,
"3,512",0.75,4,2,2,0,0.666666667,1,1,0.5
,,,,,,,,,
"4,512",0.625,1,4,0,3,1,0.25,0.571428571,1
,,,,,,,,,
"5,512",0.375,3,0,4,1,0.428571429,0.75,0,0
,,,,,,,,,
"6,512",0.625,1,4,0,3,1,0.25,0.571428571,1
,,,,,,,,,
"7,512",0.75,2,4,0,2,1,0.5,0.666666667,1
,,,,,,,,,
"8,512",0.75,4,2,2,0,0.666666667,1,1,0.5
,,,,,,,,,
"9,512",0.75,2,4,0,2,1,0.5,0.666666667,1
,,,,,,,,,
"10,512",0.5,4,0,4,0,0.5,1,nan,0
