第n次,test_acc,True Positive,True Negative,False Positive,False Negative,Precision_1,Recall_1,Precision_0,Recall_0
"1,64",0.7414721846580505,269,557,0,288,1.0,0.4829443447037702,0.659171597633136,1.0
"2,64",1.0,557,557,0,0,1.0,1.0,1.0,1.0
"3,64",1.0,557,557,0,0,1.0,1.0,1.0,1.0
"4,64",0.7414721846580505,269,557,0,288,1.0,0.4829443447037702,0.659171597633136,1.0
"5,64",0.7414721846580505,269,557,0,288,1.0,0.4829443447037702,0.659171597633136,1.0
"6,64",0.7414721846580505,269,557,0,288,1.0,0.4829443447037702,0.659171597633136,1.0
"7,64",1.0,557,557,0,0,1.0,1.0,1.0,1.0
"8,64",0.7414721846580505,269,557,0,288,1.0,0.4829443447037702,0.659171597633136,1.0
"9,64",0.7414721846580505,269,557,0,288,1.0,0.4829443447037702,0.659171597633136,1.0
"10,64",0.7414721846580505,269,557,0,288,1.0,0.4829443447037702,0.659171597633136,1.0
"1,128",0.7414721846580505,269,557,0,288,1.0,0.4829443447037702,0.659171597633136,1.0
"2,128",0.7414721846580505,269,557,0,288,1.0,0.4829443447037702,0.659171597633136,1.0
"3,128",1.0,557,557,0,0,1.0,1.0,1.0,1.0
"4,128",0.7414721846580505,269,557,0,288,1.0,0.4829443447037702,0.659171597633136,1.0
"5,128",0.9542190432548523,506,557,0,51,1.0,0.9084380610412927,0.9161184210526315,1.0
"6,128",1.0,557,557,0,0,1.0,1.0,1.0,1.0
"7,128",1.0,557,557,0,0,1.0,1.0,1.0,1.0
"8,128",0.7414721846580505,269,557,0,288,1.0,0.4829443447037702,0.659171597633136,1.0
"9,128",1.0,557,557,0,0,1.0,1.0,1.0,1.0
"10,128",0.7414721846580505,269,557,0,288,1.0,0.4829443447037702,0.659171597633136,1.0
"1,256",0.7414721846580505,269,557,0,288,1.0,0.4829443447037702,0.659171597633136,1.0
"2,256",0.7414721846580505,269,557,0,288,1.0,0.4829443447037702,0.659171597633136,1.0
"3,256",0.7414721846580505,269,557,0,288,1.0,0.4829443447037702,0.659171597633136,1.0
"4,256",0.7414721846580505,269,557,0,288,1.0,0.4829443447037702,0.659171597633136,1.0
"5,256",0.7414721846580505,269,557,0,288,1.0,0.4829443447037702,0.659171597633136,1.0
"6,256",0.7414721846580505,269,557,0,288,1.0,0.4829443447037702,0.659171597633136,1.0
"7,256",0.7414721846580505,269,557,0,288,1.0,0.4829443447037702,0.659171597633136,1.0
"8,256",0.7414721846580505,269,557,0,288,1.0,0.4829443447037702,0.659171597633136,1.0
"9,256",0.7414721846580505,269,557,0,288,1.0,0.4829443447037702,0.659171597633136,1.0
"10,256",0.7414721846580505,269,557,0,288,1.0,0.4829443447037702,0.659171597633136,1.0
第n次,test_acc,True Positive,True Negative,False Positive,False Negative,Precision_1,Recall_1,Precision_0,Recall_0
"1,512",0.7414721846580505,269,557,0,288,1.0,0.4829443447037702,0.659171597633136,1.0
"2,512",0.7414721846580505,269,557,0,288,1.0,0.4829443447037702,0.659171597633136,1.0
"3,512",0.7414721846580505,269,557,0,288,1.0,0.4829443447037702,0.659171597633136,1.0
