"[0.3164674114761135, 0.8715277910232544]","[0.1781194099180755, 0.9875991940498352]","[0.9496671925439979, 0.5877525210380554]"
,,
"[0.07722802141067824, 0.985615074634552]","[0.5634150970727205, 0.8283730149269104]","[1.5834352061001942, 0.4466540515422821]"
,,
"[7.129287994411286e-05, 1.0]","[1.4984359508431688, 0.8273809552192688]","[5.056452861674042, 0.4595959484577179]"
"[0.46776310233251445, 0.8157241940498352]","[0.296729890363557, 1.0]","[0.7700684747912667, 0.5340909361839294]"
"[4.680871790610365e-05, 1.0]","[5.297713980412294, 0.4861111044883728]","[5.634908179477383, 0.4545454680919647]"
"[0.1455907755390933, 0.9548611044883728]","[0.6294720668109164, 0.7936508059501648]","[1.3998656895369141, 0.4851641356945038]"
"[0.4120724696133818, 0.8735119104385376]","[0.43481474216022187, 0.8338293433189392]","[0.9480275596783618, 0.5631313323974609]"
"[0.5656003613793661, 0.8338293433189392]","[0.5623401091212318, 0.8789682388305664]","[0.744721843437715, 0.49021464586257935]"
"[0.00014247421085389168, 1.0]","[1.5931438039295331, 0.7271825671195984]","[3.835429966033979, 0.5353535413742065]"
"[0.35710499341052676, 0.851190447807312]","[0.5170008258687125, 0.8224206566810608]","[0.8086145091237444, 0.4756944477558136]"
"[0.20083085791621771, 0.9310516119003296]","[0.803597471299803, 0.6894841194152832]","[1.7984438007744499, 0.5214646458625793]"
"[0.18173764150087085, 0.9285714030265808]","[0.8777817805327238, 0.6845238208770752]","[1.6483360194234233, 0.5325126051902771]"
"[0.40441388945790036, 0.9228670597076416]","[0.36422448528427925, 0.9146825671195984]","[0.7687502837542332, 0.5445075631141663]"
"[0.07174203115966289, 0.9977678656578064]","[0.9276985569029219, 0.8571428656578064]","[2.5316593849013156, 0.5684974789619446]"
"[0.10274840028409565, 0.9885912537574768]","[0.25208659493733965, 0.9290674328804016]","[1.6859435548987052, 0.5009469985961914]"
"[0.14443849334271536, 0.9441964030265808]","[1.0921912700351741, 0.641865074634552]","[1.762834352441132, 0.5653409361839294]"
"[0.22502596555129875, 0.9052579402923584]","[1.061496600641736, 0.730654776096344]","[1.5202995719896122, 0.5615530014038086]"
"[0.5823622038440098, 0.8549107313156128]","[0.6089071669275798, 0.8477182388305664]","[0.7266474613035568, 0.47506314516067505]"
"[0.007743221698402767, 0.9985119104385376]","[0.7102590390048655, 0.8457341194152832]","[2.704329352454292, 0.5407196879386902]"
"[0.1578718818888615, 0.9290674328804016]","[1.235631902753893, 0.6984127163887024]","[2.0999229024646504, 0.5656565427780151]"
