²Än¦¸,test_loss,test_mae
"1,64",0.05852944776415825,0.1876404732465744
"2,64",0.05364348739385605,0.16151796281337738
"3,64",0.04839875549077988,0.163662388920784
"4,64",0.055464792996644974,0.16577309370040894
"5,64",0.05958918109536171,0.18842163681983948
"6,64",0.060718949884176254,0.19174593687057495
"7,64",0.0571402907371521,0.18302835524082184
"8,64",0.06575114279985428,0.1993168145418167
"9,64",0.07808073610067368,0.19258812069892883
"10,64",0.09192755073308945,0.22184723615646362
"mean,64",0.06292443349957466,0.185554201900959
"1,128",0.06880926340818405,0.1912553459405899
"2,128",0.07665946334600449,0.16918571293354034
"3,128",0.06434950232505798,0.1601446121931076
"4,128",0.06070155277848244,0.18369442224502563
"5,128",0.054349783807992935,0.1735258400440216
"6,128",0.08889753371477127,0.24726581573486328
"7,128",0.06113140657544136,0.17192073166370392
"8,128",0.07097294181585312,0.1731112152338028
"9,128",0.07427296042442322,0.18671008944511414
"10,128",0.06737237423658371,0.18632729351520538
"mean,128",0.06875167824327946,0.18431410789489747
"1,256",0.05123184621334076,0.1418721228837967
"2,256",0.05878698080778122,0.17765460908412933
"3,256",0.06151064485311508,0.17985579371452332
"4,256",0.058670323342084885,0.170359268784523
"5,256",0.050411053001880646,0.15922769904136658
"6,256",0.056189410388469696,0.16755644977092743
"7,256",0.05678163468837738,0.15934719145298004
"8,256",0.08581765741109848,0.2022140920162201
"9,256",0.07336698472499847,0.17118756473064423
"10,256",0.06367022544145584,0.16906856000423431
"mean,256",0.06164367608726025,0.16983433514833451
"1,512",0.053771011531353,0.17950278520584106
"2,512",0.055584970861673355,0.1717020720243454
"3,512",0.051076654344797134,0.1686423271894455
"4,512",0.07565684616565704,0.1761043220758438
"5,512",0.05590502545237541,0.19553875923156738
"6,512",0.057176556438207626,0.17749834060668945
"7,512",0.04569961875677109,0.15440431237220764
"8,512",0.06855654716491699,0.1764335036277771
"9,512",0.046031881123781204,0.1782958060503006
"10,512",0.06498248875141144,0.19042854011058807
"mean,512",0.05744416005909443,0.1768550768494606
