Unix Time Stamps,target,No.plant,Before_today Remain No.
1603036800,1,631,239
1602518400,0,631,239
1602432000,0,631,239
1602345600,0,631,239
1602172800,0,631,239
1602086400,0,631,239
1602000000,0,631,239
1601913600,0,631,239
1601827200,0,631,239
1601740800,0,631,239
1601654400,0,631,239
1601568000,0,631,239
1601222400,2,631,239
1600963200,0,631,239
1600876800,0,631,239
1600272000,1,631,239
1599840000,0,631,239
1599753600,0,631,239
1599667200,0,631,239
1598371200,1,631,239
1603641600,3,742,307
1603209600,1,742,307
1602432000,1,742,307
1602000000,1,742,307
1601827200,3,742,307
1601568000,1,742,307
1601222400,1,742,307
1600963200,0,742,307
1600876800,0,742,307
1600790400,0,742,307
1600444800,1,742,307
1600185600,1,742,307
1600012800,1,742,307
1599667200,2,742,307
1599408000,1,742,307
1598889600,2,742,307
1598630400,1,742,307
1603382400,1,701,308
1600963200,0,701,308
1600876800,0,701,308
1600704000,1,701,308
1600617600,2,701,308
1602000000,1,759,309
1600617600,2,759,309
1603728000,1,765,314
1603036800,1,765,314
1602777600,1,765,314
1601827200,2,765,314
1601568000,1,765,314
1600876800,1,765,314
1600617600,2,765,314
1603036800,0,698,301
1602777600,0,698,301
1602432000,0,698,301
1602259200,0,698,301
1602086400,0,698,301
1601827200,0,698,301
1601222400,1,698,301
